,binance-coin,bitcoin,chainlink,cosmos,enjin-coin,holo,huobi-token,kyber-network,monacoin,multi-collateral-dai,nano,ravencoin,status,stellar,tether,theta-token,unus-sed-leo
binance-coin,1,0.690561707584517,0.462435603169308,0.637631042738375,0.397236227915713,0.516351823206773,0.691777725463516,0.421730278278745,0.283226670081304,-0.167056703314725,0.602051651549057,0.499625855171369,0.414904050104416,0.628915839143475,0.068202847749706,0.49328644214794,0.304859044896641
bitcoin,0.690561707584517,1,0.501718481088346,0.559786930819492,0.397775796171385,0.491030729533398,0.610267695693219,0.42824394150544,0.317309597317688,-0.161725509654011,0.619361838169374,0.451366812993661,0.465766377380833,0.671851206174166,0.090565603815973,0.440937560162364,0.296573007089713
chainlink,0.462435603169308,0.501718481088346,1,0.391142778288835,0.324699911802298,0.310841111380375,0.427100340456452,0.304645337330519,0.185219670313255,-0.12801315997263,0.4637388777307,0.319284592014782,0.357560118187711,0.482854146959929,0.060401240280179,0.353193701693031,0.24405340014708
cosmos,0.637631042738375,0.559786930819492,0.391142778288835,1,0.433967023165755,0.476560474578299,0.541158170822888,0.40684561040655,0.348000483700727,-0.098374235765677,0.59625689671441,0.57808958852625,0.443780269195437,0.564921860942971,0.048636396342737,0.451252256179957,0.192884035766159
enjin-coin,0.397236227915713,0.397775796171385,0.324699911802298,0.433967023165755,1,0.303132626254977,0.383284753749716,0.43283037681474,0.136284265881099,-0.145216691983804,0.420340113119074,0.343956553002664,0.349530019979135,0.407993838377437,0.052266067869997,0.403183534534572,0.267171316392127
holo,0.516351823206773,0.491030729533398,0.310841111380375,0.476560474578299,0.303132626254977,1,0.424998543347473,0.292437794577832,0.164091900987264,-0.173612889298347,0.465795464819654,0.342461141775659,0.416031789558075,0.469308427761367,0.070577147701638,0.378881276582227,0.195980572198103
huobi-token,0.691777725463516,0.610267695693219,0.427100340456452,0.541158170822888,0.383284753749716,0.424998543347473,1,0.402006190996339,0.238117659917407,-0.134943991271549,0.569324851770841,0.475743610556853,0.391474575025965,0.553111817256658,0.082009669505464,0.426241484190954,0.282842712043639
kyber-network,0.421730278278745,0.42824394150544,0.304645337330519,0.40684561040655,0.43283037681474,0.292437794577832,0.402006190996339,1,0.202875055710962,-0.115428817906789,0.483058772915467,0.354517745196118,0.384717745712526,0.433472764016527,0.087752774078749,0.436289551637339,0.157904280927585
monacoin,0.283226670081304,0.317309597317688,0.185219670313255,0.348000483700727,0.136284265881099,0.164091900987264,0.238117659917407,0.202875055710962,1,-0.07798336340644,0.274306476785804,0.229006689956141,0.218049604731261,0.334874611234934,0.050474603387999,0.190591817977114,0.231537899235189
multi-collateral-dai,-0.167056703314725,-0.161725509654011,-0.12801315997263,-0.098374235765677,-0.145216691983804,-0.173612889298347,-0.134943991271549,-0.115428817906789,-0.07798336340644,1,-0.211308426648488,-0.158853541565578,-0.099909156156775,-0.121482504889509,0.067979399290893,-0.099063180207009,-0.103403416420746
nano,0.602051651549057,0.619361838169374,0.4637388777307,0.59625689671441,0.420340113119074,0.465795464819654,0.569324851770841,0.483058772915467,0.274306476785804,-0.211308426648488,1,0.428875385677126,0.457707190019553,0.623873389322255,0.079076974115382,0.528586361045073,0.260303837715121
ravencoin,0.499625855171369,0.451366812993661,0.319284592014782,0.57808958852625,0.343956553002664,0.342461141775659,0.475743610556853,0.354517745196118,0.229006689956141,-0.158853541565578,0.428875385677126,1,0.401093628150447,0.472163096017167,0.128233441966621,0.328552359603734,0.20568641094713
status,0.414904050104416,0.465766377380833,0.357560118187711,0.443780269195437,0.349530019979135,0.416031789558075,0.391474575025965,0.384717745712526,0.218049604731261,-0.099909156156775,0.457707190019553,0.401093628150447,1,0.481603626548204,0.081223258348439,0.3504832943467,0.291781805914564
stellar,0.628915839143475,0.671851206174166,0.482854146959929,0.564921860942971,0.407993838377437,0.469308427761367,0.553111817256658,0.433472764016527,0.334874611234934,-0.121482504889509,0.623873389322255,0.472163096017167,0.481603626548204,1,0.068536578638616,0.487160985728156,0.219174948535909
tether,0.068202847749706,0.090565603815973,0.060401240280179,0.048636396342737,0.052266067869997,0.070577147701638,0.082009669505464,0.087752774078749,0.050474603387999,0.067979399290893,0.079076974115382,0.128233441966621,0.081223258348439,0.068536578638616,1,0.007376987819574,-0.020537366456894
theta-token,0.49328644214794,0.440937560162364,0.353193701693031,0.451252256179957,0.403183534534572,0.378881276582227,0.426241484190954,0.436289551637339,0.190591817977114,-0.099063180207009,0.528586361045073,0.328552359603734,0.3504832943467,0.487160985728156,0.007376987819574,1,0.139425711360994
unus-sed-leo,0.304859044896641,0.296573007089713,0.24405340014708,0.192884035766159,0.267171316392127,0.195980572198103,0.282842712043639,0.157904280927585,0.231537899235189,-0.103403416420746,0.260303837715121,0.20568641094713,0.291781805914564,0.219174948535909,-0.020537366456894,0.139425711360994,1
